#Median value of k = 0.00787124323636, std dev = 0.000275801105414
#Median value of tControl = 142.341834446, std dev = 1.68073764516
#Median value of Td = 1.43884846346, std dev = 1.34678501098
#Median value of rhoI0 = 1.17624112442, std dev = 0.0615801288436
#Median value of rhoD0 = 0.084896642701, std dev = 0.12069431212

#Number of samples: 1170000
#Saving plot to file: SL.png

#Mean number of cases and deaths.
0.0 50.0 50.0 6.0 6.0
2.0 79.0 61.6514456167 6.0 9.65386326634
4.0 81.0 73.9310971578 6.0 13.3258040446
6.0 89.0 86.7727961595 7.0 17.0539398081
17.0 97.0 166.7087896 49.0 39.4236442222
21.0 158.0 199.802787977 34.0 48.5672457779
31.0 239.0 293.128294945 99.0 74.2948771099
33.0 252.0 313.776136782 101.0 79.9830907369
37.0 305.0 357.239487585 127.0 91.9551430815
39.0 337.0 380.105109125 142.0 98.2530063824
43.0 386.0 428.236245839 194.0 111.509111832
48.0 442.0 493.190398805 206.0 129.397848985
51.0 454.0 534.897099199 219.0 140.88390049
54.0 525.0 578.785934007 224.0 152.970822327
58.0 533.0 640.896983297 233.0 170.076024818
61.0 574.0 690.331804996 252.0 183.690186795
63.0 646.0 724.717065743 273.0 193.159742427
66.0 691.0 778.537413851 286.0 207.981622729
68.0 717.0 815.973108847 298.0 218.291235011
71.0 730.0 874.568052577 315.0 234.427993146
73.0 783.0 915.324808358 334.0 245.652196361
75.0 810.0 957.491073095 348.0 257.264566875
78.0 848.0 1023.49039557 365.0 275.440430351
80.0 907.0 1069.39741017 374.0 288.082974061
82.0 910.0 1116.89205713 392.0 301.1627395
87.0 1026.0 1242.9395968 422.0 335.875524969
93.0 1261.0 1409.04311682 491.0 381.619471412
100.0 1424.0 1625.50548766 525.0 441.231906841
107.0 1673.0 1869.32192739 562.0 508.377432884
112.0 1813.0 2062.12206943 593.0 561.473351698
114.0 1940.0 2143.94934072 597.0 584.008046635
116.0 2021.0 2228.60658611 605.0 607.322092455
121.0 2304.0 2453.28152931 622.0 669.19606118
124.0 2437.0 2597.54438349 623.0 708.925062735
128.0 2789.0 2801.70441175 879.0 765.149312496
131.0 2950.0 2964.19802887 930.0 809.898904543
135.0 3252.0 3194.15822327 1183.0 873.228288409
137.0 3410.0 3315.13706437 1200.0 906.544979627
142.0 3706.0 3636.18547452 1259.0 994.965166869
146.0 3896.0 3912.69435809 1281.0 1071.29467463
152.0 5338.0 4356.91319898 1510.0 1195.41085435
156.0 4759.0 4669.73680849 1070.0 1284.29430036
158.0 4862.0 4830.41601587 1130.0 1330.44170342
163.0 5368.0 5242.49316578 1169.0 1450.31031052
170.0 6073.0 5837.56248464 1250.0 1627.220927
172.0 6190.0 6009.96202901 1267.0 1679.3109615
177.0 6599.0 6442.56284032 1398.0 1811.68177656
184.0 7312.0 7044.80941114 1583.0 1999.97980104
191.0 7897.0 7632.08728196 1768.0 2188.26181409
198.0 8356.0 8193.36503452 2085.0 2372.76842952
205.0 9004.0 8719.36686184 2582.0 2550.05114566
212.0 9446.0 9202.95803844 2758.0 2717.1518654
219.0 9780.0 9639.32683054 2943.0 2871.73048617
226.0 10124.0 10025.9712235 3062.0 3012.13378207
233.0 10340.0 10362.5191957 3145.0 3137.40621069
240.0 10518.0 10650.4247024 3199.0 3247.24951092
247.0 10740.0 10892.5873744 3276.0 3341.94234732
254.0 10934.0 11092.9428356 3341.0 3422.23352077
261.0 11103.0 11256.0640655 3408.0 3489.22249696
270.0 11341.0 11418.8928061 3479.0 3557.96147612
271.0 11370.0 11434.128943 3490.0 3564.51112692
274.0 11443.0 11476.7678744 3530.0 3582.96691362
275.0 11466.0 11490.0020603 3546.0 3588.73552768
277.0 11497.0 11515.0804621 3565.0 3599.72355747
278.0 11517.0 11526.9501584 3576.0 3604.95148943
281.0 11586.0 11560.030286 3611.0 3619.62144801
282.0 11619.0 11570.254297 3629.0 3624.18731645
284.0 11677.0 11589.5686934 3655.0 3632.85735348
285.0 11696.0 11598.6818309 3663.0 3636.96952788
288.0 11742.0 11623.9770493 3687.0 3648.46168985
289.0 11751.0 11631.7628093 3691.0 3652.02371357
292.0 11794.0 11653.3247613 3712.0 3661.95571633
